Commit Hash,File Name,Semantic_Similarity,Token_Similarity
05f36c7f7e2df36ee28f90d99632162579b1287c,flasky.css_t,0.9998800158500671,0.7830330605424658
05f36c7f7e2df36ee28f90d99632162579b1287c,api.rst,0.9999997615814209,0.955765648170669
05f36c7f7e2df36ee28f90d99632162579b1287c,deploying.rst,,
05f36c7f7e2df36ee28f90d99632162579b1287c,flaskext.py,0.9993303418159485,0.847189545517797
05f36c7f7e2df36ee28f90d99632162579b1287c,foreword.rst,0.9997199177742004,0.8690531874764331
05f36c7f7e2df36ee28f90d99632162579b1287c,index.rst,0.999935507774353,0.9869618823754003
05f36c7f7e2df36ee28f90d99632162579b1287c,installation.rst,0.999976396560669,0.6735703540256446
05f36c7f7e2df36ee28f90d99632162579b1287c,quickstart.rst,0.9996912479400635,0.9908427423368531
05f36c7f7e2df36ee28f90d99632162579b1287c,flask.py,1.0000001192092896,0.8622023249825916
1fff3e598126a084348ec2c112fdd3bc6b9a1ee0,flasky.css_t,0.9999998807907104,0.9916115129131431
1fff3e598126a084348ec2c112fdd3bc6b9a1ee0,deploying.rst,0.9999998211860657,0.9977353725968889
1fff3e598126a084348ec2c112fdd3bc6b9a1ee0,setup.py,0.9993820786476135,0.803290766749458
574e81f9c8bbdc41958e1e7a7613633b091101f8,quickstart.rst,0.9998769760131836,0.9947764505878562
574e81f9c8bbdc41958e1e7a7613633b091101f8,setup.py,0.9998950362205505,0.9649773185979729
df929c6c77ea5490a969275e45075c29711a498c,quickstart.rst,1.0000001192092896,0.9685707203418028
8171da88a49eba769d313a51591ee8575be59762,quickstart.rst,1.0000001192092896,0.8955665650509849
85ca089dde8814c4a42ad4574cddce25d60e5e25,quickstart.rst,1.0000001192092896,0.9967338355614163
4e7aa9e7f7a86ee0ea4b6801694c13151518cb52,quickstart.rst,1.0000001192092896,0.9896647754068418
4671429a509094f36e2294055340197091d39979,flasky.css_t,0.9999998807907104,0.9627797161178647
4671429a509094f36e2294055340197091d39979,foreword.rst,0.9999629259109497,0.6761232314659275
4671429a509094f36e2294055340197091d39979,patterns.rst,0.999914288520813,0.996496353313399
4671429a509094f36e2294055340197091d39979,quickstart.rst,1.0000001192092896,0.9871805537753104
d78b04a3fca8d8887382606897d4a97e55062fda,flasky.css_t,0.9999998807907104,0.9944925006732588
6a3a046f55755f0691568431e68a8bfea8d89df0,quickstart.rst,1.0000001192092896,0.9889766125063238
0b8e01b4450d0ba8cb65751d866568fddc155fa4,quickstart.rst,1.0000001192092896,0.9936972040225303
03168a5d53457fdb8676a4ac9fca0f76a23c6852,apishowcase.py,,
03168a5d53457fdb8676a4ac9fca0f76a23c6852,style.css,,
03168a5d53457fdb8676a4ac9fca0f76a23c6852,counter.html,,
03168a5d53457fdb8676a4ac9fca0f76a23c6852,hello.html,,
03168a5d53457fdb8676a4ac9fca0f76a23c6852,index.html,,
03168a5d53457fdb8676a4ac9fca0f76a23c6852,layout.html,,
03168a5d53457fdb8676a4ac9fca0f76a23c6852,minitwit.py,0.9990051984786987,0.8908737036418249
f2dc38cda61f76c64b97ab9f730accc986a4b188,README,0.9977419376373291,0.7974480327307836
f2dc38cda61f76c64b97ab9f730accc986a4b188,minitwit.py,1.0,0.998847792897082
f2dc38cda61f76c64b97ab9f730accc986a4b188,minitwit_tests.py,,
f2dc38cda61f76c64b97ab9f730accc986a4b188,flask.py,1.0000001192092896,0.998163097941283
ef524f2cfd65377b3b9ce896e7a710472b13c0f6,minitwit_tests.py,0.9998079538345337,0.9952206957254843
03148dba6b26a2694da1d466584f50189c52e7b3,api.rst,0.9998944401741028,0.9564051910016942
03148dba6b26a2694da1d466584f50189c52e7b3,index.rst,0.9999297261238098,0.987058309916002
03148dba6b26a2694da1d466584f50189c52e7b3,flask.py,0.9989688396453857,0.9614482034820891
2f5a4f8dbc832b0daebcd66ea8b3969589191fa7,testing.rst,,
2f5a4f8dbc832b0daebcd66ea8b3969589191fa7,README,0.9999455213546753,0.9787646095521554
