Commit Hash,File Name,MI_Before,MI_After,MI_Change,CC_Before,CC_After,CC_Change,LOC_Before,LOC_After,LOC_Change,Semantic_Similarity,Token_Similarity,Semantic_class,Token_class,Classes_Agree
05f36c7f7e2df36ee28f90d99632162579b1287c,flaskext.py,100.0,100.0,0.0,1.0,1.0,0.0,96.0,86.0,-10.0,0.9993303418159484,0.847189545517797,Minor,Major,NO
05f36c7f7e2df36ee28f90d99632162579b1287c,flasky.css_t,,,,,,,,,,0.9998800158500672,0.7830330605424658,Minor,Major,NO
05f36c7f7e2df36ee28f90d99632162579b1287c,foreword.rst,,,,,,,,,,0.9997199177742004,0.8690531874764331,Minor,Major,NO
05f36c7f7e2df36ee28f90d99632162579b1287c,index.rst,,,,,,,,,,0.999935507774353,0.9869618823754004,Minor,Minor,YES
05f36c7f7e2df36ee28f90d99632162579b1287c,installation.rst,,,,,,,,,,0.999976396560669,0.6735703540256446,Minor,Major,NO
05f36c7f7e2df36ee28f90d99632162579b1287c,quickstart.rst,,,,,,,,,,0.9996912479400636,0.9908427423368532,Minor,Minor,YES
05f36c7f7e2df36ee28f90d99632162579b1287c,sidebarintro.html,,,,,,,,,,0.9756155610084534,0.4692121443723613,Minor,Major,NO
06ec917ddedc618944670b39ccd5f4cb862882b2,flask.py,,,,,,,,,,1.0000001192092896,0.999234713305994,Minor,Minor,YES
06ed3e1e8888b73794876d39a53382eb45a54fe2,flask.py,,,,,,,,,,0.9999998807907104,0.9998020546693188,Minor,Minor,YES
0719ad5f4fa7d52d38706b3ee60ef91dcfbaa98d,extensiondev.rst,,,,,,,,,,0.99961119890213,0.9026423071841616,Minor,Minor,YES
07581b2404924fe1833f596cfa09caf69868ad5b,CHANGES,,,,,,,,,,0.9989309906959534,0.9537885200073056,Minor,Minor,YES
07581b2404924fe1833f596cfa09caf69868ad5b,setup.py,100.0,100.0,0.0,0.0,0.0,,71.0,71.0,0.0,0.9999988675117492,0.9937303061595952,Minor,Minor,YES
