Commit Hash,File Name,MI_Before,MI_After,MI_Change,CC_Before,CC_After,CC_Change,LOC_Before,LOC_After,LOC_Change
40e0024d7b87150ed694829a5335bd2435962225,flask.py,,,,,,,,,
7b5015010bc8c2a2d56c7c50b37e5b9facdad102,flask.py,,,,,,,,,
fb2d2e446bdd806ea3de7b869c7371e2dae57a23,flaskr.py,70.28534779104871,70.28534779104871,0.0,13.0,13.0,0.0,98.0,98.0,0.0
fb2d2e446bdd806ea3de7b869c7371e2dae57a23,minitwit.py,48.73457184659348,48.73457184659348,0.0,44.0,44.0,0.0,250.0,250.0,0.0
fb2d2e446bdd806ea3de7b869c7371e2dae57a23,flask.py,,,,,,,,,
fb2d2e446bdd806ea3de7b869c7371e2dae57a23,flask_tests.py,41.33783424823284,41.33783424823284,0.0,55.0,55.0,0.0,188.0,188.0,0.0
6d556acb3fcaa6eeff4bda8cf704ad5f0cf5b5ac,conf.py,100.0,100.0,0.0,0.0,0.0,,245.0,246.0,1.0
0bb8b4f9a1c61fcf473e5ca7a10cc3ed4f30766f,setup.py,100.0,100.0,0.0,0.0,0.0,,19.0,69.0,50.0
9fbf9a062c11904b5022a5aa7941449e31340c32,setup.py,100.0,100.0,0.0,0.0,0.0,,69.0,69.0,0.0
5310fc38227b1907cb541f4a30ea8dfef46c2e19,flask.py,,,,,,,,,
5310fc38227b1907cb541f4a30ea8dfef46c2e19,flask_tests.py,41.33783424823284,,,55.0,,,188.0,,
0b9c2b5eb1b604cd76d9252e8e9628df731ea572,flask.py,,,,,,,,,
63593d281b7358a86a808cc0bf5e47107316403d,flask.py,,,,,,,,,
190059c8f01c6f75243824e765d08a7cce386eda,flask.py,,,,,,,,,
190059c8f01c6f75243824e765d08a7cce386eda,flask_tests.py,,,,,,,,,
bf52a17902cdbc300ee91ec1b2e8d2b7890ba35c,flaskr_tests.py,72.38709511780434,72.83432679706192,0.4472316792575839,17.0,17.0,0.0,66.0,65.0,-1.0
0770f5c6375e3e45fa3ac918217df5d885176173,flask.py,,,,,,,,,
73a47a0db1a181bb305684115d3dacded0c5a58b,minitwit.py,48.73457184659348,48.945650333297216,0.21107848670373386,44.0,44.0,0.0,250.0,248.0,-2.0
ce18d4575dd8468878668d777d83448eeae4fd0d,conf.py,100.0,100.0,0.0,0.0,0.0,,246.0,247.0,1.0
6e2be6a0b3aba4ab49cf3ed1a10ac13c6b771aba,jqueryexample.py,,95.41856814346298,,,2.0,,,29.0,
